student_id,age,gender,parental_education,study_hours_week,attendance_rate,extracurricular,sleep_hours,previous_scores,tutoring,internet_quality,family_income,health_status,final_grade
STD02208,22,F,doctorate,9.31,41.32,Yes,6.81,61.11,No,GOOD,Medium,Good,89.26
STD01840,23,F,bachelor,4.72,59.32,No,6.71,64.79,Yes,Excellent,High,Poor,89.82
STD00690,25,F,bachelor,9.27,,Yes,7.5,61.21,No,Good,Low,Excellent,93.12
STD02373,21,F,high_school,13.4,45.28,Yes,6.89,59.99,No,,Low,Good,92.41
STD02345,27,F,high_school,,68.92,Yes,5.18,55.12,No,Poor,Medium,Good,80.28
STD01863,22,M,bachelor,,40.61,Yes,,67.39,No,Poor,Low,Good,88.97
STD01205,18,F,master,13.23,38.72,Yes,7.5,44.75,Yes,Good,Medium,Poor,90.36
STD00029,23,F,bachelor,5.79,64.32,No,8.63,,Yes,Excellent,Low,Excellent,91.35
STD00884,24,F,master,,66.7,No,5.35,50.8,No,Poor,Low,Good,91.51
STD01169,24,M,master,3.02,63.43,Yes,6.1,57.35,No,Good,High,Good,85.84
STD00715,21,M,bachelor,17.57,60.81,Yes,6.12,57.87,No,Excellent,Medium,Good,99.34
STD02187,22,M,bachelor,-3.62,62.49,No,5.36,59.85,Yes,Good,Medium,Good,91.38
STD02027,21,M,BACHELOR,,47.72,Yes,2.2,40.36,No,,Medium,Good,88.01
STD00507,18,F,high_school,8.45,60.64,Yes,6.33,55.58,Yes,Poor,Low,Excellent,84.29
STD00988,20,F,high_school,8.33,51.57,Yes,5.61,57.47,No,Good,Medium,Good,78.52
STD00459,24,F,master,,69.81,No,10.05,77.2,No,Good,Low,Excellent,92.31
STD01738,21,F,high_school,7.38,51.3,Yes,4.86,52.25,No,Poor,Low,Good,75.42
STD00697,25,F,bachelor,9.55,64.78,Yes,6.11,59.74,No,Excellent,Low,Good,87.32
STD01915,23,F,bachelor,12.26,49.63,No,7.17,48.88,No,Good,Medium,Poor,87.36
STD00105,20,M,high_school,9.65,58.49,Yes,5.55,58.98,No,Good,Medium,Poor,83.07
STD01248,21,F,bachelor,,,Yes,8.02,54.54,No,Good,Medium,Good,93.06
STD01731,18,F,doctorate,12.68,72.23,Yes,6.61,55.08,No,Good,Low,Excellent,100
STD00742,21,M,doctorate,15.13,71.63,Yes,7.99,52.98,No,POOR,,Good,96.78
STD01159,22,M,doctorate,9.2,57.65,No,8.08,71.81,No,Excellent,Low,Good,100
STD00140,24,F,high_school,9.23,59.8,No,6.84,69.79,No,Poor,Low,Good,88.83
STD01382,21,F,bachelor,6.2,61.61,No,,58.18,No,Excellent,Medium,Excellent,96.2
STD00662,20,M,high_school,5.33,60.48,No,6.96,57.17,Yes,Excellent,Medium,Good,93.41
STD02088,22,M,master,7.28,44.6,No,6.54,44.12,Yes,Good,,Excellent,90.5
STD02325,22,M,bachelor,6.9,54.88,Yes,,54.26,No,Excellent,,Excellent,91.09
STD01867,23,F,high_school,5.68,54.6,No,,,No,Excellent,Medium,Good,81.76
STD00763,21,F,high_school,5.99,58.5,No,7.44,58.8,No,Poor,Medium,Good,84.68
STD00056,19,M,HIGH_SCHOOL,,57.14,No,5.96,53.36,Yes,Good,Medium,Good,86.9
STD00775,25,F,bachelor,12.99,61.76,Yes,7.4,71.2,No,Excellent,Low,Good,100
STD02205,22,M,bachelor,13.06,60.58,Yes,9.24,43.59,Yes,Excellent,,Good,98.19
STD01637,19,M,high_school,10.03,62.53,No,5.84,60.11,No,,,Good,84.24
STD00590,19,F,bachelor,6.52,62.71,Yes,8.46,50.19,No,Good,Low,Excellent,85.85
STD02485,18,M,high_school,2.04,77.79,Yes,6.47,50.17,No,Good,Medium,Good,72.77
STD01209,20,F,high_school,15.71,64.25,No,5.41,64.25,Yes,Good,High,Excellent,100
STD02391,20,M,bachelor,7.26,49.47,No,,58.83,No,Good,Low,Excellent,89.58
STD00243,25,M,high_school,17.63,66.81,Yes,4.88,69.42,No,,Low,Good,97.3
STD00424,25,M,master,8.06,73.12,No,6.62,58.72,No,Good,Low,Good,98.05
STD00619,22,F,bachelor,4.24,60.48,Yes,5.79,49.9,No,Poor,Low,Good,69.16
STD00334,25,M,master,6.59,51.35,Yes,7.39,46.56,No,Good,Medium,Good,88.27
STD01475,23,M,doctorate,1.7,71.15,Yes,5.71,37.38,No,Good,Low,Good,75.98
STD01197,23,F,BACHELOR,15.56,62.99,No,6.55,51.77,Yes,Good,High,Excellent,100
STD00380,20,M,bachelor,,61.18,No,8.36,65.75,No,Excellent,Medium,Excellent,93.31
STD01750,20,M,high_school,7.14,33.01,No,8.11,49.09,Yes,Excellent,Medium,Good,91.55
STD00723,20,F,high_school,9.86,65.78,Yes,6.57,61.41,Yes,Poor,Medium,Good,88.95
STD00885,20,F,bachelor,,48.41,Yes,5.99,38.26,No,Good,Medium,Good,75.5
STD00721,19,M,bachelor,16.08,77.06,Yes,6.97,50.43,No,Good,,Good,100
STD01300,21,M,high_school,4.71,73.44,Yes,,58.96,No,Excellent,Low,Good,81.06
STD01858,23,M,bachelor,,55.54,Yes,9.86,57.37,No,  Good ,  Medium ,Excellent,85.85
STD01735,22,F,high_school,7.55,68.69,Yes,8.17,40.08,Yes,Good,Low,Good,90.18
STD00974,19,F,master,4.2,77.32,Yes,8.53,45.19,No,Excellent,High,Good,94.51
STD02039,24,M,master,10.82,63.54,No,4.94,45.29,No,Good,Medium,Excellent,93.99
STD00057,22,F,bachelor,8.47,62.12,Yes,7.12,64.55,No,Good,Low,Good,87.65
STD00959,18,M,high_school,9.99,,No,9.07,72.94,No,Good,High,Good,94.18
STD01535,25,M,bachelor,13.87,53.99,Yes,9.96,55.31,No,Poor,Medium,Excellent,88.64
STD01876,24,M,bachelor,9.4,69.2,Yes,,43.86,No,Excellent,Medium,Good,94.06
STD00559,19,F,high_school,6.38,61.39,Yes,7.52,57.98,No,Good,Medium,Good,81.77
STD01633,20,M,master,7.62,55.34,Yes,5.54,,No,Poor,Low,Good,79.54
STD01257,23,M,bachelor,11.58,56.12,No,,31.66,Yes,,Medium,Excellent,93.3
STD00484,19,F,master,12.3,69.85,No,7.72,,No,Poor,Medium,Excellent,98.03
STD00803,23,M,bachelor,13.57,53.7,No,6.46,59.53,No,Excellent,Medium,  Excellent ,100
STD00786,20,M,master,10.08,61.0,No,8.01,46.1,Yes,Good,Low,Good,97.21
STD01227,21,M,bachelor,8.89,72.18,No,6.08,50.35,No,Excellent,Medium,Good,92.03
STD00003,21,F,bachelor,10.48,66.15,No,6.86,53.84,Yes,Poor,Low,Excellent,91.7
STD00893,20,F,bachelor,,52.13,Yes,7.85,,No,Good,Medium,Good,97.21
STD01761,21,M,high_school,4.69,72.3,Yes,7.87,65.86,No,Good,,Good,85.45
STD01831,20,F,bachelor,0.93,62.94,Yes,6.54,51.71,No,Good,Low,Good,73.37
STD00834,25,F,bachelor,,,No,7.78,71.66,Yes,Good,Low,Good,97.21
STD01328,18,M,bachelor,10.13,,No,10.13,67.06,No,Excellent,Medium,Excellent,100
STD01504,19,M,bachelor,9.02,42.22,No,,54.55,Yes,Good,High,Good,92.78
STD00810,24,F,doctorate,17.27,60.64,Yes,7.62,58.28,Yes,Good,High,Excellent,100
STD00730,20,M,high_school,,60.23,Yes,8.29,60.39,No,Good,Medium,Good,82.66
STD01261,25,M,high_school,,37.28,Yes,8.21,66.92,No,Excellent,Medium,Good,86.46
STD01799,21,M,high_school,0.05,58.81,Yes,,45.76,No,Good,Medium,Good,75.5
STD00290,23,M,master,8.23,70.47,Yes,7.82,63.27,No,Good,Medium,Good,99.69
STD01386,20,F,bachelor,1.79,50.07,Yes,7.23,69.16,Yes,Excellent,Low,Good,79.59
STD01962,24,M,high_school,8.63,66.85,No,5.42,51.79,No,Good,Medium,Good,89.71
STD01218,24,M,high_school,6.94,67.95,No,8.28,,No,Poor,High,Good,89.34
STD02490,18,M,high_school,9.85,56.92,No,7.28,50.97,No,Good,Low,Good,89.04
STD00060,19,M,high_school,,,No,6.13,71.14,Yes,Good,Low,Good,100
STD00063,24,F,high_school,10.68,64.09,No,7.86,53.74,Yes,Excellent,Low,Good,92.65
STD00503,18,F,high_school,14.49,52.22,Yes,,59.73,No,Excellent,Medium,Poor,94.96
STD00935,22,M,high_school,8.93,54.03,Yes,8.77,57.46,No,Excellent,Low,Poor,83.46
STD01679,23,M,master,11.89,73.69,Yes,,52.59,No,Poor,Medium,Good,92.17
STD00861,18,M,bachelor,109.12,65.35,Yes,9.63,61.0,Yes,Good,High,Good,94.3
STD01330,21,F,  bachelor ,15.71,,No,7.47,60.55,No,Excellent,Medium,Good,100
STD01178,22,F,bachelor,7.6,68.11,No,5.33,55.3,No,Poor,High,Good,84.17
STD02343,24,M,BACHELOR,5.4,39.58,No,5.24,53.67,No,Good,Low,Excellent,72.41
STD01441,25,M,master,7.02,41.49,Yes,5.7,56.68,No,,Medium,Excellent,86.02
STD00600,20,F,doctorate,1.23,65.41,No,6.15,50.04,Yes,Good,Medium,Good,86.16
STD01243,18,M,bachelor,5.26,58.32,Yes,5.94,71.63,No,Good,Medium,Good,88.81
STD01464,25,M,bachelor,7.97,52.45,Yes,6.35,49.72,Yes,Excellent,Medium,Excellent,97.55
STD02368,25,M,master,3.68,74.95,No,5.08,,No,Good,High,Good,84.03
STD02084,18,F,master,10.94,46.45,No,6.35,40.67,Yes,Good,Medium,Good,96.19
STD02246,23,F,high_school,11.49,56.97,No,7.49,40.24,No,Good,,Good,84.01
STD02151,18,M,master,,70.91,Yes,7.02,70.06,Yes,Excellent,Medium,Excellent,100
STD01434,25,F,bachelor,10.47,36.15,No,9.26,51.51,No,Good,High,Good,95.03
STD01067,25,F,bachelor,14.28,,Yes,6.03,46.66,No,Good,Low,Excellent,95.84
STD01028,20,F,master,11.53,57.06,Yes,8.4,71.54,Yes,Excellent,Medium,Excellent,100
STD01170,22,M,high_school,,65.33,Yes,7.47,34.85,No,Good,Medium,Good,84.84
STD01842,23,M,doctorate,3.16,61.03,No,6.93,53.37,No,Poor,Low,Good,81.06
STD00393,23,F,master,12.76,65.93,No,,59.58,No,Good,Medium,Excellent,100
STD01895,23,M,bachelor,1.14,68.48,No,7.23,52.03,No,Good,,Good,83.1
STD00428,20,F,bachelor,0.92,60.23,Yes,6.26,59.94,No,Excellent,Medium,Good,79.25
STD00545,22,M,high_school,17.96,62.2,No,6.43,59.58,Yes,Good,Medium,Excellent,100
STD01040,25,M,doctorate,9.26,64.89,Yes,7.82,27.74,No,Good,Medium,Poor,84.52
STD02164,25,M,high_school,13.61,,Yes,5.81,55.38,Yes,Excellent,Low,Excellent,99.52
STD00332,19,M,high_school,9.05,49.16,No,7.78,41.64,No,Good,Medium,Good,88.11
STD00115,23,F,bachelor,4.89,62.2,No,6.49,58.42,Yes,,Medium,Excellent,89.63
STD00604,18,F,bachelor,15.45,,Yes,5.87,38.56,No,GOOD,Low,Good,96.28
STD00047,25,M,high_school,11.36,61.97,Yes,,60.94,No,Good,Medium,Good,86.98
STD01631,19,M,master,6.51,80.77,No,5.57,42.02,No,Excellent,Medium,Good,86.04
STD00147,22,M,bachelor,4.94,66.81,No,7.66,64.22,No,Poor,Medium,Good,85.92
STD00626,21,F,doctorate,12.57,59.11,Yes,6.38,70.46,Yes,Poor,Low,Good,100
STD01246,21,M,bachelor,9.17,53.28,Yes,7.59,61.55,No,Good,Low,Good,88.54
STD01155,21,M,master,5.13,67.72,No,9.89,67.21,No,Excellent,High,Poor,93.55
STD00526,19,F,bachelor,3.6,66.08,No,4.93,59.32,No,Good,Medium,Excellent,83.88
STD00268,23,F,doctorate,3.53,54.72,Yes,7.98,50.96,No,Poor,Medium,Excellent,84.28
STD00994,24,M,master,7.46,60.24,Yes,9.8,54.12,Yes,Poor,Medium,Excellent,93.33
STD02063,23,M,doctorate,12.61,63.72,Yes,6.17,65.42,No,Excellent,Medium,Good,100
STD02377,21,F,high_school,,62.45,Yes,,52.48,No,,,Excellent,72.05
STD01935,19,M,bachelor,,,No,5.11,57.78,No,Good,,Good,100
STD00244,21,M,high_school,12.87,59.24,Yes,6.76,64.5,No,Poor,Medium,Excellent,93.68
STD02285,25,M,high_school,10.75,60.25,No,7.36,53.89,No,Excellent,Medium,Excellent,91.28
STD01355,21,M,master,5.67,57.27,Yes,7.33,59.28,No,Good,Medium,Good,86.83
STD00348,20,M,bachelor,0.88,64.35,Yes,6.67,,No,Good,Medium,Excellent,79.58
STD00890,21,M,master,1.58,73.58,Yes,7.97,29.94,No,,Medium,Good,73.44
STD00895,24,  F ,master,3.24,60.86,Yes,7.45,61.62,Yes,Poor,Medium,Excellent,84.27
STD00942,21,M,bachelor,4.21,81.07,No,3.92,56.3,No,Good,Medium,Good,80.05
STD01717,24,F,bachelor,10.42,69.26,No,6.39,63.5,Yes,Excellent,Medium,Excellent,100
STD01666,23,F,bachelor,3.75,44.7,No,8.11,68.43,Yes,Excellent,,Excellent,92.43
STD02101,21,F,bachelor,7.09,40.81,Yes,8.53,62.46,No,Excellent,,Excellent,96.74
STD02260,19,F,bachelor,11.43,65.9,Yes,6.13,56.99,No,  Good ,,Excellent,92.81
STD00318,22,M,bachelor,13.82,39.95,Yes,8.15,52.43,No,Excellent,Low,Good,97.43
STD00703,19,M,bachelor,8.04,73.68,Yes,5.84,76.75,No,Excellent,Medium,Good,94.2
STD02370,22,F,master,13.35,,Yes,8.06,52.62,No,Excellent,Medium,Good,100
STD01444,25,M,high_school,2.41,38.96,No,6.92,69.57,Yes,Good,Medium,Good,80.13
STD02496,18,F,master,16.38,68.21,Yes,4.28,56.52,No,Good,,Excellent,100
STD00233,18,F,high_school,9.07,63.14,Yes,7.01,52.2,No,Excellent,Low,Poor,85.13
STD00044,19,M,high_school,9.48,,Yes,8.44,46.13,No,Excellent,Medium,Good,93.17
STD01492,25,F,high_school,11.99,50.17,Yes,5.38,65.31,No,Good,Low,Good,92.0
STD00062,25,F,bachelor,103.6,53.81,Yes,7.81,39.13,No,Excellent,Low,Excellent,88.32
STD00139,20,F,master,9.96,71.02,Yes,8.85,43.48,No,Excellent,Low,Poor,92.53
STD00177,25,M,high_school,6.15,,Yes,8.94,72.39,No,Excellent,Low,Excellent,93.49
STD02420,23,M,bachelor,,56.8,No,7.76,56.44,No,Excellent,Low,  Good ,82.19
STD01557,22,F,high_school,13.17,57.71,No,6.16,71.09,No,,Low,Good,93.47
STD00747,24,F,bachelor,10.57,43.42,Yes,6.22,50.8,No,,Medium,Good,91.2
STD00702,22,M,doctorate,10.3,,No,8.56,49.58,No,Excellent,High,Good,100
STD02329,21,M,bachelor,6.16,67.87,No,4.57,63.06,Yes,Good,Medium,Good,83.55
STD01327,23,F,bachelor,6.85,60.85,Yes,5.06,51.81,No,Good,Medium,Poor,78.82
STD01653,24,M,master,16.35,42.75,Yes,7.81,62.22,No,Excellent,High,Good,100
STD01008,21,M,bachelor,0.45,46.37,No,6.95,54.88,No,Good,Low,Poor,63.24
STD02336,24,F,high_school,,63.77,No,,57.66,No,Excellent,Medium,Excellent,89.56
STD01286,18,F,bachelor,10.15,59.42,No,7.06,,Yes,Excellent,Low,Good,100
STD01678,25,M,bachelor,12.1,54.41,No,6.55,62.64,Yes,Excellent,Medium,Good,99.82
STD01704,21,F,high_school,13.75,62.01,No,6.1,,No,Excellent,LOW,Good,95.06
STD00679,24,F,high_school,13.21,51.81,Yes,8.13,68.82,Yes,Good,Medium,Good,100
STD01074,25,F,high_school,,,Yes,8.41,53.44,No,Poor,Low,Good,82.94
STD00828,23,M,high_school,,60.34,No,6.04,56.98,Yes,Excellent,Medium,Excellent,85.98
STD01610,18,F,master,20.31,40.22,No,9.07,51.1,No,Good,Low,Good,100
STD02157,22,F,high_school,5.34,37.58,No,9.27,74.02,Yes,Excellent,HIGH,Good,91.78
STD01466,22,M,master,6.91,41.72,Yes,8.15,,Yes,Excellent,High,Excellent,100
STD02237,25,F,bachelor,12.05,65.15,No,6.4,63.25,Yes,Good,Medium,Good,99.92
STD02297,23,F,doctorate,,63.33,Yes,9.17,50.17,Yes,Excellent,Low,Good,93.09
STD01140,21,F,bachelor,20.7,75.15,No,5.71,85.94,Yes,Good,Medium,Good,100
STD00254,24,  F ,bachelor,10.06,51.12,Yes,7.08,57.86,Yes,Good,Low,Good,94.23
STD01258,24,F,bachelor,12.55,,Yes,6.98,51.63,No,,Medium,Excellent,100
STD00238,20,M,high_school,3.45,63.96,Yes,,55.36,No,Excellent,Medium,Good,78.95
STD01073,20,F,high_school,12.18,55.53,No,6.38,47.19,No,Good,Low,Excellent,87.41
STD01213,21,F,high_school,9.9,39.35,No,7.91,56.18,No,Good,Medium,Good,89.93
STD00362,24,F,master,12.26,,Yes,10.31,56.07,Yes,  Excellent ,Medium,Good,100
STD00718,19,F,high_school,,53.65,Yes,8.19,58.07,No,Excellent,Low,Good,78.08
STD01493,23,  M ,bachelor,12.76,61.31,Yes,6.97,,No,Good,High,Excellent,100
STD00437,18,M,bachelor,10.01,66.61,Yes,5.55,63.07,No,Excellent,Medium,Poor,88.86
STD02426,22,M,high_school,12.07,,Yes,,62.61,No,Good,High,Excellent,100
STD00595,20,F,bachelor,4.7,55.58,Yes,,60.48,No,Poor,Medium,Good,80.12
STD01540,25,M,high_school,18.56,63.93,No,7.2,48.51,Yes,Good,Medium,Good,100
STD01778,23,F,bachelor,14.07,,Yes,5.32,56.47,Yes,Good,,Poor,96.51
STD00695,18,F,master,3.19,42.81,Yes,7.9,45.43,Yes,Good,High,Good,87.95
STD01162,20,F,bachelor,7.97,42.61,No,5.74,61.59,No,Excellent,Low,Good,84.37
STD02083,19,F,bachelor,16.87,69.23,Yes,4.39,64.73,No,Excellent,Medium,Poor,99.24
STD00342,25,F,master,,65.99,Yes,7.34,58.01,Yes,Good,Medium,Excellent,98.83
STD00143,23,F,master,2.7,58.6,Yes,6.35,49.19,No,Excellent,,Good,87.28
STD02146,19,F,high_school,16.09,,No,8.11,56.06,No,Good,,Good,99.99
STD00126,24,M,bachelor,4.04,60.42,Yes,6.06,64.12,Yes,Excellent,Medium,Poor,86.94
STD00027,20,F,high_school,19.93,79.53,Yes,6.38,57.02,Yes,Good,High,Excellent,100
STD02503,21,M,high_school,9.86,62.14,No,6.72,57.8,Yes,Excellent,Medium,Good,93.69
STD02255,24,F,bachelor,12.1,49.21,No,6.3,58.77,Yes,,Medium,Excellent,98.79
STD01933,27,F,master,,51.63,No,7.44,58.1,No,Good,Medium,Excellent,100
STD01641,19,F,doctorate,7.06,58.77,Yes,,41.21,Yes,Good,Medium,Good,88.14
STD01191,24,F,bachelor,1.99,53.98,Yes,8.34,62.35,No,Excellent,Medium,Good,88.5
STD01689,19,F,high_school,14.48,,Yes,8.09,65.58,No,Excellent,Medium,Poor,93.97
STD01853,25,M,doctorate,,55.12,Yes,6.62,69.09,Yes,Good,Medium,Good,100
STD01260,20,F,high_school,17.94,57.48,Yes,6.74,44.15,NO,Excellent,Low,Good,97.11
STD01181,24,F,master,6.17,63.46,No,,69.8,Yes,Excellent,Low,Good,92.43
STD01834,24,F,MASTER,11.15,62.02,No,7.63,32.7,No,Good,Medium,Poor,89.09
STD02449,23,F,master,14.6,63.62,Yes,6.26,62.75,Yes,Excellent,,Good,100
STD00264,25,M,bachelor,7.11,65.1,Yes,8.69,50.67,No,Poor,Medium,Good,92.58
STD02043,19,F,bachelor,15.04,72.99,No,9.27,62.45,Yes,Good,Medium,Good,100
STD01411,20,M,bachelor,8.95,31.87,No,5.96,68.14,Yes,Good,Low,Good,89.78
STD00926,25,M,bachelor,18.91,56.95,No,7.85,64.59,No,Excellent,Medium,Excellent,100
STD01280,23,M,high_school,18.83,53.08,Yes,7.23,66.74,No,Good,Low,Good,91.36
STD00055,24,F,doctorate,7.57,74.38,No,6.57,53.16,No,Good,Low,Excellent,88.75
STD01788,19,F,bachelor,10.98,56.61,Yes,5.61,66.31,No,Good,Low,Excellent,98.93
STD00418,21,M,high_school,14.35,41.0,No,7.66,50.93,No,Good,Low,Excellent,88.89
STD01141,25,M,bachelor,13.04,77.62,No,6.52,76.39,No,Excellent,Low,Excellent,100
STD01795,19,F,bachelor,,62.73,No,7.83,62.65,Yes,Good,Medium,Poor,100
STD01596,24,M,bachelor,3.67,69.19,Yes,8.51,61.87,No,Excellent,Medium,Excellent,94.78
STD02309,25,F,bachelor,10.38,62.31,No,7.46,59.84,No,Excellent,Medium,Good,98.66
STD01740,21,F,bachelor,7.42,49.13,Yes,7.83,67.4,Yes,Good,Medium,Good,91.88
STD02251,22,M,high_school,8.67,65.89,No,6.49,64.97,No,Poor,Low,Good,85.65
STD02389,25,M,high_school,9.65,66.14,Yes,7.19,73.84,No,Good,Low,Good,90.05
STD02489,23,F,bachelor,7.88,65.67,No,,73.95,Yes,Excellent,,Poor,92.82
STD01177,25,M,bachelor,4.92,63.13,No,9.4,57.03,No,Excellent,Medium,Good,83.99
STD00746,23,M,bachelor,11.57,,No,5.74,56.58,No,Good,Low,Good,91.38
STD00608,25,M,bachelor,-1.49,68.47,Yes,7.89,70.5,Yes,Good,Low,Excellent,97.17
STD00770,24,F,bachelor,20.27,71.07,Yes,6.56,58.45,Yes,Excellent,Medium,Excellent,100
STD00750,20,M,high_school,10.34,62.81,No,8.08,76.1,No,Excellent,Medium,Excellent,99.76
STD01902,19,M,high_school,18.31,78.63,Yes,7.1,77.13,Yes,Good,Medium,Good,100
STD01931,24,F,high_school,8.13,48.38,Yes,4.96,56.76,Yes,Excellent,High,Excellent,96.69
STD01682,20,M,master,14.01,66.7,Yes,7.33,56.27,NO,  Good ,High,Excellent,100
STD00762,22,M,high_school,7.9,63.87,No,10.12,63.4,Yes,Good,Low,Good,96.72
STD01003,18,F,bachelor,6.3,54.43,Yes,7.1,57.91,No,Poor,Medium,Good,85.06
STD00309,24,F,bachelor,,58.11,Yes,6.22,69.46,No,Good,High,Excellent,100
STD00165,25,M,bachelor,5.29,81.57,Yes,8.48,64.43,No,Excellent,High,Poor,91.05
STD00716,21,F,master,10.21,59.01,  Yes ,7.09,53.18,No,Excellent,High,Poor,98.06
STD01776,25,M,high_school,2.56,55.54,Yes,7.05,73.78,No,Good,Medium,Excellent,83.5
STD00095,22,F,master,13.43,50.38,No,,27.85,No,  Poor ,Medium,Good,94.82
STD02400,25,M,bachelor,8.0,71.88,Yes,8.71,62.07,Yes,Excellent,High,Good,100
STD01289,24,M,bachelor,11.94,81.33,Yes,7.31,53.11,No,,Low,Poor,92.41
STD00307,21,F,high_school,22.37,56.02,Yes,6.99,47.98,Yes,Good,High,Good,100
STD01356,24,F,bachelor,23.11,71.96,Yes,5.66,69.23,No,Good,Low,Good,100
